run_id,kernel,dtype,m,k,n,block_size,threads,rep,iters,time_ns,gflops
20260924-212250,reference,double,496,496,496,,1,0,1,74185427,3.2897
20260924-212250,reference,double,496,496,496,,1,1,1,74676063,3.2681
20260924-212250,reference,double,496,496,496,,1,2,1,74753702,3.2647
20260924-212250,reference,double,496,496,496,,1,3,1,75518802,3.2316
20260924-212250,reference,double,496,496,496,,1,4,1,75055812,3.2516
20260924-212250,reference,double,496,496,496,,1,5,1,76473150,3.1913
20260924-212250,reference,double,496,496,496,,1,6,1,74910368,3.2579
20260924-212250,reference,double,500,500,500,,1,0,1,56171160,4.4507
20260924-212250,reference,double,500,500,500,,1,1,1,57465747,4.3504
20260924-212250,reference,double,500,500,500,,1,2,1,57065525,4.3809
20260924-212250,reference,double,500,500,500,,1,3,1,56318373,4.4390
20260924-212250,reference,double,500,500,500,,1,4,1,58390378,4.2815
20260924-212250,reference,double,500,500,500,,1,5,1,58366586,4.2833
20260924-212250,reference,double,500,500,500,,1,6,1,56819569,4.3999
20260924-212250,reference,double,504,504,504,,1,0,1,61010536,4.1968
20260924-212250,reference,double,504,504,504,,1,1,1,63058356,4.0605
20260924-212250,reference,double,504,504,504,,1,2,1,63366700,4.0407
20260924-212250,reference,double,504,504,504,,1,3,1,63101913,4.0577
20260924-212250,reference,double,504,504,504,,1,4,1,61838876,4.1406
20260924-212250,reference,double,504,504,504,,1,5,1,61518708,4.1621
20260924-212250,reference,double,504,504,504,,1,6,1,61789104,4.1439
20260924-212250,reference,double,508,508,508,,1,0,1,62239347,4.2127
20260924-212250,reference,double,508,508,508,,1,1,1,58851370,4.4552
20260924-212250,reference,double,508,508,508,,1,2,1,59515807,4.4054
20260924-212250,reference,double,508,508,508,,1,3,1,59885305,4.3783
20260924-212250,reference,double,508,508,508,,1,4,1,59781853,4.3858
20260924-212250,reference,double,508,508,508,,1,5,1,59635409,4.3966
20260924-212250,reference,double,508,508,508,,1,6,1,59886166,4.3782
20260924-212250,reference,double,511,511,511,,1,0,1,57483445,4.6425
20260924-212250,reference,double,511,511,511,,1,1,1,57848888,4.6132
20260924-212250,reference,double,511,511,511,,1,2,1,58218252,4.5839
20260924-212250,reference,double,511,511,511,,1,3,1,57345223,4.6537
20260924-212250,reference,double,511,511,511,,1,4,1,58569571,4.5564
20260924-212250,reference,double,511,511,511,,1,5,1,58312988,4.5764
20260924-212250,reference,double,511,511,511,,1,6,1,57486368,4.6422
20260924-212250,reference,double,512,512,512,,1,0,1,291892635,0.9196
20260924-212250,reference,double,512,512,512,,1,1,1,307718489,0.8723
20260924-212250,reference,double,512,512,512,,1,2,1,294673729,0.9110
20260924-212250,reference,double,512,512,512,,1,3,1,291755695,0.9201
20260924-212250,reference,double,512,512,512,,1,4,1,292609334,0.9174
20260924-212250,reference,double,512,512,512,,1,5,1,290674048,0.9235
20260924-212250,reference,double,512,512,512,,1,6,1,280712597,0.9563
20260924-212250,reference,double,513,513,513,,1,0,1,59004886,4.5761
20260924-212250,reference,double,513,513,513,,1,1,1,59509351,4.5373
20260924-212250,reference,double,513,513,513,,1,2,1,58482377,4.6170
20260924-212250,reference,double,513,513,513,,1,3,1,58782552,4.5934
20260924-212250,reference,double,513,513,513,,1,4,1,60997313,4.4266
20260924-212250,reference,double,513,513,513,,1,5,1,61282955,4.4060
20260924-212250,reference,double,513,513,513,,1,6,1,59938278,4.5048
20260924-212250,reference,double,516,516,516,,1,0,1,65241461,4.2117
20260924-212250,reference,double,516,516,516,,1,1,1,62997199,4.3617
20260924-212250,reference,double,516,516,516,,1,2,1,60998688,4.5046
20260924-212250,reference,double,516,516,516,,1,3,1,61783450,4.4474
20260924-212250,reference,double,516,516,516,,1,4,1,64390060,4.2674
20260924-212250,reference,double,516,516,516,,1,5,1,62028873,4.4298
20260924-212250,reference,double,516,516,516,,1,6,1,65222939,4.2129
20260924-212250,reference,double,520,520,520,,1,0,1,71782196,3.9176
20260924-212250,reference,double,520,520,520,,1,1,1,70122518,4.0104
20260924-212250,reference,double,520,520,520,,1,2,1,71840073,3.9145
20260924-212250,reference,double,520,520,520,,1,3,1,72698829,3.8682
20260924-212250,reference,double,520,520,520,,1,4,1,71311118,3.9435
20260924-212250,reference,double,520,520,520,,1,5,1,69091545,4.0702
20260924-212250,reference,double,520,520,520,,1,6,1,68507301,4.1049
20260924-212250,reference,double,528,528,528,,1,0,1,93750720,3.1402
20260924-212250,reference,double,528,528,528,,1,1,1,92257386,3.1910
20260924-212250,reference,double,528,528,528,,1,2,1,88212138,3.3374
20260924-212250,reference,double,528,528,528,,1,3,1,89648900,3.2839
20260924-212250,reference,double,528,528,528,,1,4,1,90203024,3.2637
20260924-212250,reference,double,528,528,528,,1,5,1,90031226,3.2699
20260924-212250,reference,double,528,528,528,,1,6,1,90007599,3.2708
